Question_Id,Question_Topic,Question_Content,Passage_Id,Passage_Content,Score
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_955948,"Physician assistants work under the supervision of a physician or surgeon; however, their specific duties and the extent to which they must be supervised differ from state to state. Physician assistants work in all areas of medicine, including primary care and family medicine, emergency medicine, and psychiatry.The work of physician assistants depends in large part on their specialty and what their supervising physician needs them to do.For example, a physician assistant working in surgery may close incisions and provide care before and after the operation.he work of physician assistants depends in large part on their specialty and what their supervising physician needs them to do. For example, a physician assistant working in surgery may close incisions and provide care before and after the operation.",2
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_6203672,"Physician assistants work in all areas of medicine, including primary care and family medicine, emergency medicine, and psychiatry. The work of physician assistants depends in large part on their specialty and what their supervising physician needs them to do.For example, a physician assistant working in surgery may close incisions and provide care before and after the operation.he work of physician assistants depends in large part on their specialty and what their supervising physician needs them to do. For example, a physician assistant working in surgery may close incisions and provide care before and after the operation.",2
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_849267,"Salary for Physician Assistants. Also known as: Anesthesiologist Assistant, Certified Physician's Assistant, Family Practice Physician Assistant, Orthopaedic Physician Assistant, Orthopedic Physician Assistant, Pediatric Physician Assistant, Radiology Practitioner Assistant, Surgical Physician Assistant.",0
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_2331424,"$54,000. Average Physician Assistant Physician Assistant salaries for job postings in Arizona are 18% lower than average Physician Assistant Physician Assistant salaries for job postings nationwide.verage Physician Assistant Physician Assistant salaries for job postings in Arizona are 18% lower than average Physician Assistant Physician Assistant salaries for job postings nationwide.",0
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_4455128,"1 The typical physician assistant is female. 2  The typical physician assistant graduated from PA school at around age 30. 3  The typical physician assistant has a bachelorâs degree or more education. 4  The typical physician assistant is white. 5  The typical physician assistant has been out of school for 11 years, and is therefore about 41. What can I say â on the whole, we are a middle aged profession. The is probably a reflection of the time it takes to accrue medically-related experience. The typical physician assistant practices in a group practice (29.5%)",0
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_5692406,"Professional Abbreviations. MD -- Medical Doctor. An allopathic physician. MD's are fully-qualified physicians graduated from accredited medical schools. DO -- Osteopathic Doctor. An osteopathic physician.DO's are fully-qualified physicians graduated from accredited medical schools.PA / PA-C -- Physician Assistant. A Physician Assistant can deliver diagnostic, therapeutic, and preventive healthcare services, as delegated by a physician.A PA-C is a Certified Physician Assistant, which is a PA who has completed their training and passed their Board exam. Physician Assistant can deliver diagnostic, therapeutic, and preventive healthcare services, as delegated by a physician. A PA-C is a Certified Physician Assistant, which is a PA who has completed their training and passed their Board exam.",1
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_8528286,Online Physician Assistant Masters Degree Program Information. Research online physician assistant master's degree programs. Find out what you can learn in these programs and what you'll... Medical Assistant: Becoming a Medical Assistant or Physician Assistant. Learn how to become a medical assistant or physician assistant.,0
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_920443,"Salary for Anesthesiologist Assistants. Also known as: Anesthesiologist Assistant, Certified Physician's Assistant, Family Practice Physician Assistant, Orthopaedic Physician Assistant, Orthopedic Physician Assistant, Pediatric Physician Assistant, Radiology Practitioner Assistant, Surgical Physician Assistant.",0
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_4903530,"Physician Assistant Salaries. Median annual physician assistant salaries of wage-and-salary physician assistants were about $86,000 in May 2010.The lowest 10 percent earned a physician assistant salary of less than about $57,000 and the highest 10 percent earned more than about $118,000.A physician assistant salary varies by specialty, practice setting, geographical location, and years of experience.hysician Assistant Salaries. Median annual physician assistant salaries of wage-and-salary physician assistants were about $86,000 in May 2010.",0
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_5780723,"how to become a physician assistant, how long does it take to become a physician assistant, how long does it take to become a PA, how long does it take to become a physicians assistant, how long does it take to be a physician assistant, how to become a pa, how to become a physicians assistant, how long does it take to become a physician\s assistant, how long does it take to be a PA, how long does it take to become a physician assistant in california, how long does it take to become physician ...",0
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_3757188,"Another high salary area for physician assistants is urgent care. Salaries for urgent care physician assistants may vary depending on what part of the country you are working in. The median salary for an urgent care physician assistant in the United States in 2013 was $130,000 a year.alaries for urgent care physician assistants may vary depending on what part of the country you are working in. The median salary for an urgent care physician assistant in the United States in 2013 was $130,000 a year.",0
1_1,Career choice for Nursing and Physician's Assistant,What is a physician 's assistant ?,MARCO_955945,"What Physician Assistants Do. Physician assistants, also known as PAs, practice medicine on a team under the supervision of physicians and surgeons. They are formally educated to examine patients, diagnose injuries and illnesses, and provide treatment.he work of physician assistants depends in large part on their specialty and what their supervising physician needs them to do. For example, a physician assistant working in surgery may close incisions and provide care before and after the operation.",2
